,council_name,number,person_name
14552,平成11年 第3回定例会（第5日7月13日）,19,森清
14553,平成11年 第3回定例会（第5日7月13日）,20,二木洋子
14554,平成11年 第3回定例会（第5日7月13日）,21,池下節夫
14555,平成11年 第3回定例会（第5日7月13日）,22,須磨章
14556,平成11年 第3回定例会（第5日7月13日）,23,小野貞雄
14557,平成11年 第3回定例会（第5日7月13日）,24,川口雅夫
14558,平成11年 第3回定例会（第5日7月13日）,25,源久忠仁
14559,平成11年 第3回定例会（第5日7月13日）,26,福井浩二
14560,平成11年 第3回定例会（第5日7月13日）,27,石橋守
14561,平成11年 第3回定例会（第5日7月13日）,28,根来勝利
14562,平成11年 第3回定例会（第5日7月13日）,29,大川肇
14563,平成11年 第3回定例会（第5日7月13日）,30,岡本嗣郎
14564,平成11年 第3回定例会（第5日7月13日）,31,高須賀嘉章
14565,平成11年 第3回定例会（第5日7月13日）,32,新家末吉
14566,平成11年 第3回定例会（第5日7月13日）,33,久保隆夫
14567,平成11年 第3回定例会（第5日7月13日）,34,段野啓三
14568,平成11年 第3回定例会（第5日7月13日）,35,村田君江
14569,平成11年 第3回定例会（第5日7月13日）,36,鳥本高男
14570,平成11年 第4回定例会（第1日9月14日）,1,三本登
14571,平成11年 第4回定例会（第1日9月14日）,2,角芳春
14572,平成11年 第4回定例会（第1日9月14日）,3,小西弘泰
14573,平成11年 第4回定例会（第1日9月14日）,4,吉田康人
14574,平成11年 第4回定例会（第1日9月14日）,5,林啓二
14575,平成11年 第4回定例会（第1日9月14日）,6,中浜実
14576,平成11年 第4回定例会（第1日9月14日）,7,久保隆
14577,平成11年 第4回定例会（第1日9月14日）,8,安好一弘
14578,平成11年 第4回定例会（第1日9月14日）,9,中村玲子
14579,平成11年 第4回定例会（第1日9月14日）,10,橋本恵美子
14580,平成11年 第4回定例会（第1日9月14日）,11,市田忠夫
14581,平成11年 第4回定例会（第1日9月14日）,12,岩為俊
14582,平成11年 第4回定例会（第1日9月14日）,13,藤田頼夫
14583,平成11年 第4回定例会（第1日9月14日）,14,稲垣芳広
14584,平成11年 第4回定例会（第1日9月14日）,15,筒井俊雄
14585,平成11年 第4回定例会（第1日9月14日）,16,岡本茂
14586,平成11年 第4回定例会（第1日9月14日）,17,堀田和喜
14587,平成11年 第4回定例会（第1日9月14日）,18,松雪芳信
14588,平成11年 第4回定例会（第1日9月14日）,19,森清
14589,平成11年 第4回定例会（第1日9月14日）,20,二木洋子
14590,平成11年 第4回定例会（第1日9月14日）,21,池下節夫
14591,平成11年 第4回定例会（第1日9月14日）,22,須磨章
14592,平成11年 第4回定例会（第1日9月14日）,23,小野貞雄
14593,平成11年 第4回定例会（第1日9月14日）,24,川口雅夫
14594,平成11年 第4回定例会（第1日9月14日）,25,源久忠仁
14595,平成11年 第4回定例会（第1日9月14日）,26,福井浩二
14596,平成11年 第4回定例会（第1日9月14日）,27,石橋守
14597,平成11年 第4回定例会（第1日9月14日）,28,根来勝利
14598,平成11年 第4回定例会（第1日9月14日）,29,大川肇
14599,平成11年 第4回定例会（第1日9月14日）,30,岡本嗣郎
14600,平成11年 第4回定例会（第1日9月14日）,31,高須賀嘉章
14601,平成11年 第4回定例会（第1日9月14日）,32,新家末吉
14602,平成11年 第4回定例会（第1日9月14日）,33,久保隆夫
14603,平成11年 第4回定例会（第1日9月14日）,34,段野啓三
14604,平成11年 第4回定例会（第1日9月14日）,36,鳥本高男
14605,平成11年 第4回定例会（第2日9月17日）,1,三本登
14606,平成11年 第4回定例会（第2日9月17日）,2,角芳春
14607,平成11年 第4回定例会（第2日9月17日）,3,小西弘泰
14608,平成11年 第4回定例会（第2日9月17日）,4,吉田康人
14609,平成11年 第4回定例会（第2日9月17日）,5,林啓二
14610,平成11年 第4回定例会（第2日9月17日）,6,中浜実
14611,平成11年 第4回定例会（第2日9月17日）,7,久保隆
14612,平成11年 第4回定例会（第2日9月17日）,8,安好一弘
14613,平成11年 第4回定例会（第2日9月17日）,9,中村玲子
14614,平成11年 第4回定例会（第2日9月17日）,10,橋本恵美子
14615,平成11年 第4回定例会（第2日9月17日）,11,市田忠夫
14616,平成11年 第4回定例会（第2日9月17日）,12,岩為俊
14617,平成11年 第4回定例会（第2日9月17日）,13,藤田頼夫
14618,平成11年 第4回定例会（第2日9月17日）,14,稲垣芳広
14619,平成11年 第4回定例会（第2日9月17日）,15,筒井俊雄
14620,平成11年 第4回定例会（第2日9月17日）,16,岡本茂
14621,平成11年 第4回定例会（第2日9月17日）,17,堀田和喜
14622,平成11年 第4回定例会（第2日9月17日）,18,松雪芳信
14623,平成11年 第4回定例会（第2日9月17日）,19,森清
14624,平成11年 第4回定例会（第2日9月17日）,20,二木洋子
14625,平成11年 第4回定例会（第2日9月17日）,21,池下節夫
14626,平成11年 第4回定例会（第2日9月17日）,22,須磨章
